SMILES,challenge_cyp1a2,challenge_cyp2c9,challenge_cyp2d6,challenge_cyp3a4,qhts_cyp1a2,qhts_cyp2c9,qhts_cyp2d6,qhts_cyp3a4,pharmabench_cyp2c9,pharmabench_cyp2d6,pharmabench_cyp3a4,tox21_cyp1a2,tox21_cyp2c9,tox21_cyp2d6,tox21_cyp3a4
Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,,,,,5.899998417198648,5.0,5.700000503883016,,,,,,,,
Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,,,,,,,,,,,,,,6.410050398674292,
Br.Nc1nc(-c2ccccc2)cs1.O,,,,,,,,4.700000503883016,,,,5.1502858328530134,4.950282050998537,4.900284837648976,5.100283434381408
Br/C(=N\Nc1nn[nH]n1)c1ccncc1,,,,,,,5.599997654072044,5.299997602857746,,,,,,,
BrC(Br)Br,,,,,,,,,,,,4.198510537295644,,4.248510729867378,
BrC(Br)C(Br)(Br)Br,,,,,,,,,,,,4.4960378112983825,4.696037581624225,4.303292036248479,
BrC(Br)C(Br)Br,,,,,,,,,,,,4.200639459673228,,,
BrC(c1cccc2ccccc12)c1cccc2ccccc12,,,,,5.899813936040543,5.499998305302686,,,,,,,,,
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,,,,,,,,4.800000874803203,,,,,,,
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,,,,,,,,,,,,,4.785993993937474,4.6099352360914745,5.5609923895965
BrCC(Br)C1CCC(Br)C(Br)C1,,,,,,,,,,,,4.374919680746504,4.500638760449454,4.200639459673228,
BrCC(Br)c1ccccc1,,,,,,,,,,,,4.148864616843579,4.148864616843579,5.148864004988426,
BrCCBr,,,,,,,,,,,,4.510326927538939,,4.3603272821603385,
BrCCCCCCBr,,,,,,,,,,,,4.198864633756791,4.148864616843579,,
BrCCOc1ccccc1,,,,,,,,,,,,4.171730435066144,,4.247449905206265,
BrCCc1ccccc1,,,,,,,,,,,,,,4.392526747522998,
BrCc1ccc(Br)cc1,,,,,,,,,,,,,,4.3988649544426,
BrCc1cccc(Oc2ccccc2)c1,,,,,,,,,,,,4.3988649544426,4.098864931407043,4.448864857638396,
BrCc1ccccc1,,,,,,,,,,,,,,4.278321258919463,
Brc1[nH]nc2ccccc12,,,,,5.800000874803203,,,,,,,,,,
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,,,,,,,,,,,,7.061480274823508,,,
Brc1c(Br)c(Br)c2n[nH]nc2c1Br,,,,,,,,5.5499972930101755,,,,,,,
Brc1c(NC2=NCCN2)ccc2nccnc12,,,,,4.400116927926312,,4.40000018605658,5.600004348609552,,,,,,4.510030276850633,
Brc1c2ccccc2c(Br)c2ccccc12,,,,,,,,,,,,6.543026986364183,,,
Brc1c2ccccc2cc2ccccc12,,,,,,,,,,,,6.344669441990659,4.444631028601807,,4.601884571789634
Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br,,,,,,,,,,,,4.705375075920032,,,
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,,,,,,,,,,,,,4.759747870820555,,
Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,,,,,,,,,,,,4.365337362943378,4.365337362943378,,
Brc1cc2c(cc1/C=N/Nc1nc(N3CCCC3)nc(N3CCOCC3)n1)OCO2,,,,,4.800000874803203,5.149999867728904,,5.550000451689026,,,,,,,
Brc1cc2ccccc2c2ccccc12,,,,,,,,,,,,6.495393229358046,4.245333705878432,,
Brc1ccc(-c2ccccc2)cc1,,,,,,,,,,,,5.199929346888801,,,
Brc1ccc(-c2csc(N3CCC(c4ccccc4)C3)n2)cc1,,,,,5.59999938302362,5.0,,,,,,,,,
Brc1ccc(-c2csc(N3CCc4ccccc4C3)n2)cc1,,,,,5.40000018605658,4.450000476425332,4.849999245077862,,,,,,,,
Brc1ccc(-c2n[nH]cc2CN2CCN(C3CCOCC3)CC2)cc1,,3.74740795,7.08157569,3.67145394,,,,,,,,,,,
Brc1ccc(-c2nnc(-c3cccc(Br)c3)o2)cc1,,,,,6.499999678657065,,,,,,,,,,
Brc1ccc(-c2nnc(-c3ccccc3)c(N3CCSCC3)n2)cc1,,,,,5.899998417198648,5.0,,,,,,,,,
Brc1ccc(-c2noc(-c3ccnn3C3CCCC3)n2)o1,5.494513645,,,,,,,,,,,,,,
Brc1ccc(-n2c(SCc3ccccc3)nnc2-c2ccncc2)cc1,,,,,,,,,,,5.886056647693163,,,,
Brc1ccc(/C=C/C=N/Nc2nc3ccccc3s2)cc1,,,,,5.650000220873455,5.149999867728904,,,,,,,,,
Brc1ccc(Br)c(Br)c1,,,,,,,,,,,,4.348864512263225,,,
Brc1ccc(Br)cc1,,,,,,,,,,,,4.205998803245695,,,
Brc1ccc(C2(CNC(c3cccnc3)c3ncc[nH]3)CCOCC2)cc1,,,5.622023915,,,,,,,,,,,,
Brc1ccc(CSc2nccn2-c2ccccc2)cc1,,,,,6.40000018605658,4.849999245077862,4.849999245077862,5.100000128334196,,,,,,,
Brc1ccc(Cc2nc(N3CCNCC3)no2)c2ccccc12,,,2.763881913,,,,,,,,,,,,
Brc1ccc(N=C/C=C/C=C/Nc2ccc(Br)cc2)cc1.Cl,,,,,4.849999245077862,4.700000503883016,4.59999938302362,,,,,,,,
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,,,,,,,,,,,,4.57209930248178,4.797100584682206,4.598864942530007,
Brc1ccc(Oc2ccc(Br)cc2)cc1,,,,,,,,,,,,4.698687841082801,4.573687838688421,,
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,,,,,,,,,,,,4.89815673223378,4.89815673223378,,
Brc1ccc(Oc2ccccc2)cc1,,,,,,,,,,,,4.5184305581591575,4.306118789647335,,
Brc1ccc([C@H]2CN3CCSC3=N2)cc1,,,,,4.80067189392439,,,4.59999938302362,,,,,,,
Brc1ccc2[nH]c(-c3noc([C@@H]4C[C@H]5CC[C@@H]4O5)n3)cc2c1,5.744338573,,,5.15852155,,,,,,,,,,,
Brc1ccc2cccnc2c1,,,,,5.59999938302362,,,,,,,,,,
Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,,,,,5.800000874803203,5.59999938302362,4.849999245077862,,,,,,,,
Brc1cccc(-c2ccccc2)c1,,,,,,,,,,,,4.895687051109111,,,
Brc1cccc(C2CCN(c3ncnc4nc[nH]c34)C2)c1,5.060590572,5.025751562,,,,,,,,,,,,,
Brc1cccc2c1CCC2NCc1noc2c1COCC2,5.513475127,,4.806376463,,,,,,,,,,,,
Brc1ccccc1,,,,,,,,,,,,4.451350206101622,,,
Brc1ccccc1-c1ccccc1,,,,,,,,,,,,4.8727882616839535,4.472787841256883,4.24738349770797,
Brc1ccccc1C1CCCN1c1ncnc2[nH]ncc12,,,,4.83500393,,,,,,,,,,,
Brc1ccccc1OCCOCCOc1cccc2cccnc12,,,,,5.650000220873455,,,,,,,,,,
Brc1cnc(C2CCCN2c2ncnc3[nH]ncc23)nc1,,,,3.669963445,,,,,,,,,,,
Brc1cncc(-c2cn(Cc3ncc(C4CC4)o3)nn2)c1,5.596873645,,,,,,,,,,,,,,
Brc1nc2ccccc2s1,,,,,,,,,,,,4.7245734882035615,,,
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,,,,,,,,,,,,4.921747128694939,4.14463048061975,,4.521747471272281
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,,,,,,,,,,,,5.349216665361129,4.5492198987067605,4.1992190191615695,
C#CC(O)C(CC)CCCC,,,,,,,,,,,,,4.198864633756791,,4.195992853319044
C#CC(O)CCC,,,,,,,,,,,,4.173145464019715,,,
C#CC(O)CCCCC,,,,,,,,,,,,4.195333870479099,,,
C#CC1=C(C#C)C(=O)C(Cl)=C(Cl)C1=O,,,,,,,,,,,,,4.448864857638396,4.448864857638396,4.548864726812244
C#CCC(C(=O)OC)(C(=O)OC)C(C[N+](=O)[O-])c1ccccc1,,,,,,,,5.499996931948306,,,,,,,
C#CCC(Cc1ccccc1)Nc1ccc2nccnc2n1,,,4.754357755,,,,,,,,,,,,
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,,,,,,,,,,,,4.601707487305929,4.901705926792491,4.401706426537025,5.051704426973
C#CCC1CCCN(C(=O)c2cc(-c3cccc(C(F)(F)F)c3)nc3onc(C)c23)C1,,,,6.171894857,,,,,,,,,,,
C#CCCC(=O)Nc1nc(-c2ccc(NS(C)(=O)=O)cc2)cs1,,4.716332523,,,,,,,,,,,,,
C#CCCCC(=O)Nc1ccccc1,,,,,4.699485254109518,,4.899998417198648,4.59999938302362,,,,,,,
C#CCCCC(=S)Nc1ccccc1,,,,,4.899813936040543,4.40000018605658,4.40000018605658,4.59999938302362,,,,,,,
C#CCCCCCCCCCCCC(O)CC(O)CO,,,,,,,,4.40000018605658,,,,,,,
C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,,,,,,,,4.40000018605658,,,,,,,
C#CCCCCCCCCCCCCCCCC(=O)O,,,,,5.199985438932609,4.899998417198648,4.700000503883016,,,,,,,,
C#CCCCCCCCCCCCc1ccco1,,,,,,,,4.40000018605658,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@@H]12,,,,,,,5.799999504698301,5.499996931948306,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@H]12,,,,,,,5.399996913372259,5.39999854971442,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,5.499998305302686,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@H]12,,,,,,,,5.39999854971442,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@@H]12,,,,,,,,5.499996931948306,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@H]12,,,,,,,,5.299998902651582,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,5.39999854971442,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@H]12,,,,,,,,5.199998172182031,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@@H]12,,,,,,,5.199998172182031,6.299994570061653,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@H]12,,,,,,,,5.900003591826982,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]3CC[C@H]12,,,,,,,,5.39999854971442,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,5.39999854971442,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@H]12,,,,,,,,5.39999854971442,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@@H]12,,,,,,,5.39999854971442,5.499998305302686,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@H]12,,,,,,5.699996150664601,5.399996913372259,5.39999854971442,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@@H]12,,,,,,,,5.499998305302686,,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@H]12,,,,,,5.799999504698301,,5.39999854971442,,,,,,,
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(-c3ccccc3)c(=O)n12,,,,,,,5.299997602857746,,,,,,,,
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(C)c(=O)n12,,,,,,,5.499996931948306,,,,,,,,
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(Cc3cc4c(cc3Cl)OCO4)c(=O)n12,,,,,,6.599980364934842,,,,,,,,,
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n([C@@H](CC)c3ccccc3)c(=O)n12,,,,,,,,5.39999854971442,,,,,,,
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,,,,,6.5003286664285,,6.050000077450422,4.59999938302362,,,,,,,
C#CCN(C)CCCOc1ccc(Cl)cc1Cl.Cl,,,,,,,,,,,,5.610036963564112,4.760030197409634,5.910024277312271,
C#CCN(C)Cc1ccccc1,,,,,,,,6.199970640755866,,,,,,,
C#CCN(C)Cc1ccccc1.Cl,,,,,,,,,,,,4.479447567244515,,4.448864857638396,
C#CCN(C)[C@@H](C)Cc1ccccc1,,,,,4.8000814153856455,,4.774998859413131,,,,,,,,
C#CCN(C)[C@H](C)Cc1ccccc1,,,,,4.899813936040543,,,,,,,,,,
C#CCN(C)[C@H](C)Cc1ccccc1.Cl,,,,,,,,,,,,4.698865786166042,,4.804448203800765,
C#CCN(Cc1ccccc1)C(=O)C(C)NC(=O)c1cccc(Cl)c1Cl,5.215246547,,,,,,,,,,,,,,
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,,,,,,,,,,,,5.298863933907473,4.448864857638396,4.498865393540615,4.448864857638396
C#CCN1C(C)=C(C(=O)CCO)[C@@H](c2cccc(-n3oo3)c2)C(C(=O)OC)=C1C,,,,,4.899813936040543,,6.199985438932609,5.499998305302686,,,,,,,
C#CCN1C(C)=C(C(=O)OC)[C@@H](c2cccc([N+](=O)[O-])c2)C(C(=O)OCC)=C1C,,,,,4.899813936040543,6.500018906530437,4.800000874803203,5.499998305302686,,,,,,,
C#CCNC(=O)CSc1nnc(Nc2ccc(C(C)C)cc2)s1,5.857997395,,,,,,,,,,,,,,
C#CCNS(=O)(=O)c1cccc(-c2nc(-c3ccc4[nH]ccc4c3)no2)c1,5.480242963,,5.107327215,,,,,,,,,,,,
C#CCN[C@@H](C)Cc1ccccc1,,,,,4.80067189392439,,4.59999938302362,4.40000018605658,,,,,,,
C#CCN[C@@H]1CCc2ccccc21,5.322439375,,,,,,,,,,,,,,
C#CCN[C@@H]1CCc2ccccc21.CS(=O)(=O)O,,,,,,,,,,,,5.160031997995545,,4.760030197409634,
C#CCNc1nc2ccc(C(=O)N(CC#C)C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)OCc3cncs3)cc2o1,,,,,,,,,,,7.42021640338319,,,,
C#CCO,,,,,,,,,,,,4.240520264436058,,,
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,,,,,,,,,,,,4.548864726812244,4.498865393540615,,
C#CCOC(=O)C1=CCCN(C)C1,,,,,4.600162830771291,,4.499999678657065,,,,,,,,
C#CCOC(=O)C1=CCCN(C)C1.Cc1ccc(S(=O)(=O)O)cc1,,,,,4.400116927926312,,4.800000874803203,,,,,,,,
C#CCOC(=O)NC(/C=C/CCCC)c1ccccc1,,,,,4.80067189392439,4.800000874803203,4.700000503883016,4.899998417198648,,,,,,,
C#CCOC(=O)Nc1ccc(=O)n(Cc2c(Cl)cccc2Cl)c1,,,,,4.899998417198648,5.800000874803203,,,,,,,,,
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,,,,,,,,,,,,5.300995253495097,4.5009951303440445,,4.550995494815843
C#CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1.Cl,,,,,,,,,,,,,5.610036963564112,5.460033632003287,5.8600265120155415
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,,,,,,,,,,,,5.07351076187995,6.248521941011578,4.773510569037037,5.62351294051142
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,,,,,,,,,,,4.568636235841012,,,,
C#CCSc1n[nH]c(-c2ccco2)n1,,,,,5.699485254109518,,,,,,,,,,
C#CCSc1nc(Cc2ccc(Cl)cc2)nc2ccccc12,,,,,5.899998417198648,5.550000451689026,,4.800000874803203,,,,,,,
C#CCSc1nnc(-c2cc3c(C(F)(F)F)nn(C)c3s2)n1C,,,,,5.949999401714238,,,5.100000128334196,,,,,,,
C#CCSc1nnc(-c2sc(-c3ccccc3)nc2C)n1C,,,,,5.349999603463148,,5.200000237109354,6.0,,,,,,,
C#CCSc1nnc(-c2sc3ccccc3c2Cl)o1,,,,,6.899998417198648,,,,,,,,,,
C#CCSc1nncn1C(=O)/C=C/c1ccccc1,,,,,4.800000874803203,5.40000018605658,,,,,,,,,
C#CC[N+](CC)(CC)CC#Cc1cccc(Cl)c1.[Br-],,,,,,,5.650000220873455,,,,,,,,
C#CCn1c(S(=O)(=O)Cc2ccc(OC)cc2)nc(-c2ccccc2)c1-c1ccccc1,,,,,,5.550000451689026,4.849999245077862,5.200000237109354,,,,,,,
C#C[C@@]1(O)CCC2C3CCC4=CC(=O)CCC4C3CC[C@@]21CC,,,,,,,,4.59999938302362,,,,,,,
C#C[C@@]1(O)CCC2C3CCc4cc(O)ccc4C3CC[C@@]21C,,,,,,,,4.59999938302362,,,,,,,
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@]21C,,,,,4.899813936040543,5.299998902651582,4.800000874803203,,,,,,,,
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21C,,,,,,,,4.899998417198648,,,,,,,
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21CC,,,,,,,,4.899998417198648,,,,,,,
C#C[C@@]1(O)CC[C@H]2[C@H]3CCC4=Cc5oncc5C[C@]4(C)[C@@H]3CC[C@@]21C,,,,,4.899629454882437,5.699991797446187,4.59999938302362,,,,,,,,
C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@H]4[C@H]3CC[C@]21C,,,,,,4.800000874803203,,5.299997602857746,,,,,,,
C#C[C@H](N)CCC(=O)O,,,,,,,4.899998417198648,,,,,,,,
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,,,,,,,,,,,,,5.310025555333226,4.565519720242099,4.96003097313254
C#C[C@]1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CC[C@@]21C,,,,,,,,4.499999678657065,,,,,,,
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3CC[C@@]21C,,,,,,,,4.40000018605658,,,,,,,
C#C[C@]1(O)CCC2C3CCC4=Cc5oncc5C[C@@]4(C)C3CC[C@@]21C,,,,,,,,4.899998417198648,,,,,,,
C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=CCCC[C@@H]4[C@@H]3CC[C@@]21C,,,,,4.899629454882437,5.0,,4.899998417198648,,,,,,,
C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=Cc5oncc5C[C@]4(C)[C@@H]3CC[C@@]21C,,,,,5.0,5.900003591826982,5.0,5.299998902651582,,,,,,,
C#C[C@]1(O)CC[C@@H]2[C@H]3CCc4cc(OC)ccc4[C@@H]3CC[C@@]21C,,,,,6.300081238289086,,,5.0,,,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,,,,,,,,,,,,,5.96003097313254,4.460029874171644,4.9100313379205005
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,,,,,,,,,,,,,4.779447722285225,4.3988649544426,4.629447398608591
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,,,4.560219538,,,,,,,,,,5.579445315004808,,4.828916483449061
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,,,,,,,,,,,,,5.254444853266738,4.230563590258455,4.760030197409634
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,,,,,,,,,,,,4.504447420270879,5.004447314428692,4.223145605354553,4.529447574914952
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,,,,,,,,,5.841637507904751,5.562249437179612,,4.498865393540615,5.554447754138165,4.779447722285225,5.404445699936228
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,5.231331972,,,,,,4.800000874803203,,,,4.59158797271955,4.22528557401937,,4.901705926792491
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,,,,,,,,,,,,5.079446939857254,5.1294479808784015,4.498865393540615,5.204448154114458
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,,,,,,,,,,,,4.60068632115579,4.760030197409634,,5.310025555333226
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,,,,,,,,,,,,4.49861753473966,4.860029658404407,,5.410028070483141
C#C[C@]1(O)CC[C@H]2[C@H]3CCC4=Cc5oncc5C[C@]4(C)[C@@H]3CC[C@]21C,,,,,4.899813936040543,,,5.299998902651582,,,,,,,
C#C[C@]1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CC[C@]21C,,,,,,,,4.40000018605658,,,,,,,
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,,,,,,,,,,,,,4.96003097313254,4.560029756289291,5.560036064079095
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,,,,,,,,,,,,,4.860029658404407,,
C#Cc1ccc(-c2ccccc2F)cc1,,,,,,,,,,,,6.060031709448664,4.810029897405945,,4.660030100046487
