SMILES,challenge_cyp1a2,challenge_cyp2c9,challenge_cyp2d6,challenge_cyp3a4,pharmabench_cyp2c9,pharmabench_cyp2d6,pharmabench_cyp3a4,tox21_cyp1a2,tox21_cyp2c9,tox21_cyp2d6,tox21_cyp3a4,chembl_cyp1a2,chembl_cyp2c9,chembl_cyp2d6,chembl_cyp3a4,octant_cyp3a4,aid1851_cyp1a2,aid1851_cyp2c9,aid1851_cyp2d6,aid1851_cyp3a4,aid1851_cyp2c19
Br.COCCCN1Cc2ccccc2C1=N,,,,,,,,,,,,,,,,,,4.949999401714239,4.899998417198648,,4.40000018605658
Br.COc1c2c(cc3c1OCO3)CCN(C)C2,,,,,,,,,,5.360025701545049,,,,,,,,,,,
Br.COc1ccc(C2=CSC(/N=C/c3ccc(F)cc3)=NN2)cc1,,,,,,,,,,,,,,,,,5.550000451689026,5.550000451689026,,,4.749999855918706
Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,,,,,,,,,,,,,,,,,,,5.40000018605658,,
Br.COc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,,,,,,,,,,,,,,,,,5.100000128334196,4.800000874803203,5.300000202445418,5.100000128334196,6.40000018605658
Br.Cc1ccc(C)c(C(=O)CN2C3=NCCCN3c3ccccc32)c1,,,,,,,,,,,,,,,,,5.349999603463148,,8.0,4.899998417198648,4.40000018605658
Br.N=C(N)SCc1nc2ccccc2c(=O)n1-c1ccccc1Cl,,,,,,,,,,,,,,,,,5.899998417198648,5.499999678657065,6.499999678657065,,5.0
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(Cl)cc1,,,,,,,,,,,,,,,,,,,6.100000128334196,,
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(F)cc1,,,,,,,,,,,,,,,,,,4.749999855918706,5.899998417198648,,4.550000451689026
Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,,,,,,,,,,,,,,,,,5.899998417198649,5.0,5.700000503883016,,5.200000237109354
Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,,,,,,,,,,6.410050398674292,,,,,,,,,,,
Br/C(=N\Nc1nn[nH]n1)c1ccncc1,,,,,,,,,,,,,,,,,,,,5.300000202445418,
BrC(=NNc1nn[nH]n1)c1ccncc1,,,,,,,,,,,,,,5.6,5.3,,,,,,
BrC(Br)Br,,,,,,,,4.198510537295644,,4.248510729867378,,,,,,,,,,,
BrC(Br)C(Br)Br,,,,,,,,4.200639459673228,,,,,,,,,,,,,
BrC(c1cccc2ccccc12)c1cccc2ccccc12,,,,,,,,,,,,5.9,5.5,,,,5.899998417198649,5.499999678657065,,,5.899998417198649
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,,,,,,,,,,,,,,,4.8,,,,,,
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,,,,,,,,,4.785993993937474,4.6099352360914745,5.5609923895965,,,,,,,,,,
BrCC(Br)C1CCC(Br)C(Br)C1,,,,,,,,4.374919680746504,4.500638760449454,4.200639459673228,,,,,,,,,,,
BrCC(Br)c1ccccc1,,,,,,,,4.148864616843579,4.148864616843579,5.148864004988426,,,,,,,,,,,
BrCCBr,,,,,,,,4.510326927538939,,4.3603272821603385,,,,,,,,,,,
BrCCCCCCBr,,,,,,,,4.198864633756791,4.148864616843579,,,,,,,,,,,,
BrCCOc1ccccc1,,,,,,,,4.171730435066144,,4.247449905206265,,,,,,,,,,,
BrCCc1ccccc1,,,,,,,,,,4.392526747522998,,,,,,,,,,,
BrCc1ccc(Br)cc1,,,,,,,,,,4.3988649544426,,,,,,,,,,,
BrCc1cccc(Oc2ccccc2)c1,,,,,,,,4.3988649544426,4.098864931407043,4.448864857638396,,,,,,,,,,,
BrCc1ccccc1,,,,,,,,,,4.278321258919463,,,,,,,,,,,
Brc1[nH]nc2ccccc12,,,,,,,,,,,,5.8,,,,,5.800000874803203,,,,4.949999401714239
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,,,,,,,,7.061480274823508,,,,,,,,,,,,,
Brc1c(Br)c(Br)c2[nH]nnc2c1Br,,,,,,,,,,,,,,,5.55,,,,,,
Brc1c(NC2=NCCN2)ccc2nccnc12,,,,,,,,,,4.510030276850633,,4.4,,4.4,5.76,,4.40000018605658,,,6.40000018605658,
Brc1c2ccccc2c(Br)c2ccccc12,,,,,,,,6.543026986364183,,,,,,,,,,,,,
Brc1c2ccccc2cc2ccccc12,,,,,,,,6.344669441990659,4.444631028601807,,4.601884571789634,,,,,,,,,,
Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br,,,,,,,,4.705375075920032,,,,,,,,,,,,,
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,,,,,,,,,4.759747870820555,,,,,,,,,,,,
Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,,,,,,,,4.365337362943378,4.365337362943378,,,,,,,,,,,,
Brc1cc2c(cc1/C=N/Nc1nc(N3CCCC3)nc(N3CCOCC3)n1)OCO2,,,,,,,,,,,,4.8,5.15,4.55,5.55,,4.800000874803203,5.149999867728904,4.550000451689026,5.550000451689026,5.100000128334196
Brc1cc2ccccc2c2ccccc12,,,,,,,,6.495393229358046,4.245333705878432,,,,,,,,,,,,
Brc1ccc(-c2csc(N3CCC(c4ccccc4)C3)n2)cc1,,,,,,,,,,,,5.6,5.0,,,,5.59999938302362,5.0,,,5.0
Brc1ccc(-c2csc(N3CCc4ccccc4C3)n2)cc1,,,,,,,,,,,,5.4,4.45,4.85,,,5.40000018605658,4.450000476425332,4.849999245077862,,4.899998417198648
Brc1ccc(-c2n[nH]cc2CN2CCN(C3CCOCC3)CC2)cc1,,3.74740795,7.08157569,3.67145394,,,,,,,,,,,,,,,,,
Brc1ccc(-c2nnc(-c3cccc(Br)c3)o2)cc1,,,,,,,,,,,,6.5,,,,,6.499999678657065,,,,
Brc1ccc(-c2nnc(-c3ccccc3)c(N3CCSCC3)n2)cc1,,,,,,,,,,,,5.9,5.0,,,,5.899998417198648,5.0,,,4.849999245077862
Brc1ccc(-c2noc(-c3ccnn3C3CCCC3)n2)o1,5.494513645,,,,,,,,,,,,,,,,,,,,
Brc1ccc(-n2c(SCc3ccccc3)nnc2-c2ccncc2)cc1,,,,,,,5.886056647693163,,,,,,5.37,,5.89,,,,,,
Brc1ccc(/C=C/C=N/Nc2nc3ccccc3s2)cc1,,,,,,,,,,,,5.65,5.15,,,,5.650000220873455,5.149999867728904,,,5.450000476425332
Brc1ccc(Br)c(Br)c1,,,,,,,,4.348864512263225,,,,,,,,,,,,,
Brc1ccc(Br)cc1,,,,,,,,4.205998803245695,,,,,,,,,,,,,
Brc1ccc(C2(CNC(c3cccnc3)c3ncc[nH]3)CCOCC2)cc1,,,5.622023915,,,,,,,,,,,,,,,,,,
Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1,,,,,,,,,,,,5.3,4.65,5.35,5.45,,,,,,
Brc1ccc(CSc2nccn2-c2ccccc2)cc1,,,,,,,,,,,,6.4,4.85,4.85,5.1,,6.40000018605658,4.849999245077862,4.849999245077862,5.100000128334196,6.499999678657065
Brc1ccc(Cc2nc(N3CCNCC3)no2)c2ccccc12,,,2.763881913,,,,,,,,,,,,,,,,,,
Brc1ccc(N=C/C=C/C=C/Nc2ccc(Br)cc2)cc1.Cl,,,,,,,,,,,,,,,,,4.849999245077862,4.700000503883016,4.59999938302362,,4.849999245077862
Brc1ccc(N=CCC=C/C=N/c2ccc(Br)cc2)cc1,,,,,,,,,,,,4.85,4.7,4.6,,,,,,,
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,,,,,,,,4.57209930248178,4.797100584682206,4.598864942530007,,,,,,,,,,,
Brc1ccc(Oc2ccc(Br)cc2)cc1,,,,,,,,4.698687841082801,4.573687838688421,,,,,,,,,,,,
Brc1ccc(Oc2ccccc2)cc1,,,,,,,,4.5184305581591575,4.306118789647335,,,,,,,,,,,,
Brc1ccc([C@H]2CN3CCSC3=N2)cc1,,,,,,,,,,,,4.8,,,4.6,,4.800000874803203,,,4.59999938302362,
Brc1ccc2[nH]c(-c3noc([C@@H]4C[C@H]5CC[C@@H]4O5)n3)cc2c1,5.744338573,,,5.15852155,,,,,,,,,,,,,,,,,
Brc1ccc2[nH]c3c(c2c1)CCCC3Nc1ccccc1,,,,,,,,,,,,,,4.5,,,,,,,
Brc1ccc2c3c(cccc13)-c1nc3ccccc3nc1-2,,,,,,,,,,,,7.66,,,,,,,,,
Brc1ccc2cccnc2c1,,,,,,,,,,,,5.6,,,,,5.59999938302362,,,,6.499999678657065
Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,,,,,,,,,,,,5.8,5.6,4.85,,,5.800000874803203,5.59999938302362,4.849999245077862,,5.550000451689026
Brc1cccc(-c2ccccc2)c1,,,,,,,,4.895687051109111,,,,,,,,,,,,,
Brc1cccc(C2CCN(c3ncnc4nc[nH]c34)C2)c1,5.060590572,5.025751562,,,,,,,,,,,,,,,,,,,
Brc1cccc2c1CCC2NCc1noc2c1COCC2,5.513475127,,4.806376463,,,,,,,,,,,,,,,,,,
Brc1ccccc1,,,,,,,,4.451350206101622,,,,,,,,,,,,,
Brc1ccccc1-c1ccccc1,,,,,,,,4.8727882616839535,4.472787841256883,4.24738349770797,,,,,,,,,,,
Brc1ccccc1C1CCCN1c1ncnc2[nH]ncc12,,,,4.83500393,,,,,,,,,,,,,,,,,
Brc1ccccc1OCCOCCOc1cccc2cccnc12,,,,,,,,,,,,5.65,4.95,,4.4,,5.650000220873455,4.949999401714239,,4.40000018605658,5.499999678657065
Brc1cnc(C2CCCN2c2ncnc3[nH]ncc23)nc1,,,,3.669963445,,,,,,,,,,,,,,,,,
Brc1cncc(-c2cn(Cc3ncc(C4CC4)o3)nn2)c1,5.596873645,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)C[C@]1(c2ccccc2)CCN([C@@H](C)c2ccc(-c3ccc(=O)[nH]c3)cc2)C(=O)O1,,,,,,,,,,,,,4.77,,5.22,,,,,,
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,,,,,,,,4.921747128694939,4.14463048061975,,4.521747471272281,,,,,,,,,,
C#CC(O)C(CC)CCCC,,,,,,,,,4.198864633756791,,4.195992853319044,,,,,,,,,,
C#CC(O)CCC,,,,,,,,4.173145464019715,,,,,,,,,,,,,
C#CC(O)CCCCC,,,,,,,,4.195333870479099,,,,,,,,,,,,,
C#CCC(C(=O)OC)(C(=O)OC)C(C[N+](=O)[O-])c1ccccc1,,,,,,,,,,,,,,,5.5,,,,,,
C#CCC(Cc1ccccc1)Nc1ccc2nccnc2n1,,,4.754357755,,,,,,,,,,,,,,,,,,
C#CCC(Oc1c(N)ncc2c(-c3cnn(C4CCNCC4)c3)coc12)c1c(Cl)ccc(F)c1Cl,,,,,,,,,,,,,,,5.8,,,,,,
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,,,,,,,,4.601707487305929,4.901705926792491,4.401706426537025,5.051704426973,,,,,,,,,,
C#CCC1CCCN(C(=O)c2cc(-c3cccc(C(F)(F)F)c3)nc3onc(C)c23)C1,,,,6.171894857,,,,,,,,,,,,,,,,,
C#CCCC(=O)Nc1nc(-c2ccc(NS(C)(=O)=O)cc2)cs1,,4.716332523,,,,,,,,,,,,,,,,,,,
C#CCCCC(=O)Nc1ccccc1,,,,,,,,,,,,4.7,,4.9,4.6,,4.700000503883016,,4.899998417198648,4.59999938302362,
C#CCCCC(=S)Nc1ccccc1,,,,,,,,,,,,4.9,4.4,4.4,4.6,,4.899998417198648,4.40000018605658,4.40000018605658,4.59999938302362,4.40000018605658
C#CCCCCCCCCCCCC(O)CC(O)CO,,,,,,,,,,,,,,,4.4,,,,,,
C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,,,,,,,,,,,,,,,4.4,,,,,,
C#CCCCCCCCCCCCCCCCC(=O)O,,,,,,,,,,,,5.2,4.9,4.7,,,5.200000237109354,4.899998417198648,4.700000503883016,,4.59999938302362
C#CCCCCCCCCCCCCCCCCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21,,,,,,,,,,,,,,4.66,,,,,,,
C#CCCCCCCCCCCCCCCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21,,,,,,,,,,,,,,5.62,4.73,,,,,,
C#CCCCCCCCCCCCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21,,,,,,,,,,,,,,4.07,4.26,,,,,,
C#CCCCCCCCCCCCc1ccco1,,,,,,,,,,,,,,,4.4,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,,5.800000874803204,5.499999678657065,6.59999938302362
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,,5.40000018605658,5.40000018605658,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,,,5.499999678657065,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,,,5.40000018605658,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,,,5.499999678657065,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,,,5.300000202445418,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,,,5.40000018605658,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,,,5.200000237109354,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,,5.200000237109354,6.300000202445418,5.300000202445418
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,,,5.899998417198649,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,,,5.40000018605658,5.300000202445418
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,,,5.40000018605658,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,,,5.40000018605658,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,,5.40000018605658,5.499999678657065,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,5.700000503883016,5.40000018605658,5.40000018605658,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,,,5.499999678657065,8.200000237109354
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,5.800000874803204,,5.40000018605658,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(-c4ccc(F)cc4F)c3O)CC[C@@H]12,,,,,,,,,,,,,,,5.5,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(-c4ccc(F)cc4F)c3O)CC[C@H]12,,,,,,,,,,,,,5.8,,5.400000000000001,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(-c4cccc(Oc5ccccc5)c4)c3O)CC[C@@H]12,,,,,,,,,,,,,,5.4,5.5,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(-c4cccc(Oc5ccccc5)c4)c3O)CC[C@H]12,,,,,,,,,,,,,5.7,5.4,5.400000000000001,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(C(C)(C)C)c3O)CC[C@@H]12,,,,,,,,,,,,,,5.8,5.5,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(C(C)(C)C)c3O)CC[C@H]12,,,,,,,,,,,,,,5.4,5.400000000000001,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(C4CCCCC4)c3O)CC[C@@H]12,,,,,,,,,,,,,,,5.5,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(C4CCCCC4)c3O)CC[C@H]12,,,,,,,,,,,,,,,5.400000000000001,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(CCC(=O)OCC)c3O)CC[C@@H]12,,,,,,,,,,,,,,,5.5,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(CCC(=O)OCC)c3O)CC[C@H]12,,,,,,,,,,,,,,,5.3,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(C[C@@H]4CCCO4)c3O)CC[C@@H]12,,,,,,,,,,,,,,,5.400000000000001,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(C[C@@H]4CCCO4)c3O)CC[C@H]12,,,,,,,,,,,,,,,5.2,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(Cc4ccc5c(c4)OCO5)c3O)CC[C@@H]12,,,,,,,,,,,,,,5.2,6.3,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(Cc4ccc5c(c4)OCO5)c3O)CC[C@H]12,,,,,,,,,,,,,,,5.900000000000001,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n(Cc4ccccc4)c3O)CC[C@H]12,,,,,,,,,,,,,,,5.400000000000001,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n([C@@H](C)c4ccccc4)c3O)CC[C@@H]12,,,,,,,,,,,,,,,5.400000000000001,,,,,,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2c3c(c(O)n([C@@H](C)c4ccccc4)c3O)CC[C@H]12,,,,,,,,,,,,,,,5.400000000000001,,,,,,
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(-c3ccccc3)c(=O)n12,,,,,,,,,,,,,,5.3,,,,,,,
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(C)c(=O)n12,,,,,,,,,,,,,,5.5,,,,,,,
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(Cc3cc4c(cc3Cl)OCO4)c(=O)n12,,,,,,,,,,,,,6.6,,,,,,,,
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n([C@@H](CC)c3ccccc3)c(=O)n12,,,,,,,,,,,,,,,5.400000000000001,,,,,5.40000018605658,
C#CCN(C)C(C)Cc1ccccc1,,,,,,,,,,,,4.9,,,,,,,,,
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,,,,,,,,,,,,6.5,,6.050000000000001,4.6,,6.500000555956278,,6.111765022808642,4.59999938302362,5.4235292768011485
C#CCN(C)Cc1ccccc1,,,,,,,,,,,,,,,6.2,,,,,,
C#CCN(C)Cc1ccccc1.Cl,,,,,,,,4.479447567244515,,4.448864857638396,,,,,,,,,,,
C#CCN(C)[C@@H](C)Cc1ccccc1,,,,,,,,,,,,4.8,,4.65,,,4.79999969151181,,4.811763435232401,,
C#CCN(C)[C@H](C)Cc1ccccc1,,,,,,,,,,,,,,,,,4.899998417198648,,,,
C#CCN(C)[C@H](C)Cc1ccccc1.Cl,,,,,,,,4.698865786166042,,4.804448203800765,,,,,,,,,,,
C#CCN(C)c1nc2ccc(C(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)OCc3cncs3)cc2o1,,,,,,,,,,,,,,,7.52,,,,,,
C#CCN(CC(O)COc1ccccc1C#N)C(C)(C)Cc1cc2ccccc2[nH]1,,,,,,,,,,,,,,6.17,,,,,,,
C#CCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)C(=O)c1ccc2nc(N3CCCC3)oc2c1,,,,,,,,,,,,,,,7.4,,,,,,
C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,,,,,,,,,,,,5.6,,,,,,,,,
C#CCN(Cc1ccccc1)C(=O)C(C)NC(=O)c1cccc(Cl)c1Cl,5.215246547,,,,,,,,,,,,,,,,,,,,
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,,,,,,,,5.298863933907473,4.448864857638396,4.498865393540615,4.448864857638396,,,,,,,,,,
C#CCN1C(C)=C(C(=O)CCO)[C@@H](c2cccc(-n3oo3)c2)C(C(=O)OC)=C1C,,,,,,,,,,,,4.9,,6.2,5.5,,4.899998417198648,,6.200000237109354,5.499999678657065,
C#CCN1C(C)=C(C(=O)OC)[C@@H](c2cccc([N+](=O)[O-])c2)C(C(=O)OCC)=C1C,,,,,,,,,,,,4.9,6.5,4.8,5.5,,4.899998417198648,6.499999678657065,4.800000874803203,5.499999678657065,5.300000202445418
C#CCNC(=O)CSc1nnc(Nc2ccc(C(C)C)cc2)s1,5.857997395,,,,,,,,,,,,,,,,,,,,
C#CCNS(=O)(=O)c1cccc(-c2nc(-c3ccc4[nH]ccc4c3)no2)c1,5.480242963,,5.107327215,,,,,,,,,,,,,,,,,,
C#CCN[C@@H](C)Cc1ccccc1,,,,,,,,,,,,4.8,,4.6,4.4,,4.800000874803203,,4.59999938302362,,
C#CCN[C@@H]1CCc2ccccc21,5.322439375,,,,,,,,,,,,,,,,,,,,
C#CCN[C@@H]1CCc2ccccc21.CS(=O)(=O)O,,,,,,,,5.160031997995545,,4.760030197409634,,,,,,,,,,,
C#CCNc1nc2ccc(C(=O)N(CC#C)C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)OCc3cncs3)cc2o1,,,,,,,7.42021640338319,,,,,,,,7.42,,,,,,
C#CCO,,,,,,,,4.240520264436058,,,,,,,,,,,,,
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,,,,,,,,4.548864726812244,4.498865393540615,,,,,,,,,,,,
C#CCOC(=O)C1=CCCN(C)C1,,,,,,,,,,,,4.5,,4.65,,,4.59999938302362,,4.499999678657065,,
C#CCOC(=O)C1=CCCN(C)C1.Cc1ccc(S(=O)(=O)O)cc1,,,,,,,,,,,,,,,,,4.40000018605658,,4.800000874803203,,
