SMILES,pic50_cyp2c9,pic50_cyp2d6,pic50_cyp3a4,censored_cyp2c9,censored_cyp2d6,censored_cyp3a4
Cc1occc1-c1nc(N)c(OC[C@@H](N)Cc2c(C#N)[nH]c3ccccc23)cc1-c1cnc2[nH]nc(C)c2n1,,,5.795880017344075,,,False
C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)N1CC[C@](CCC(N)=O)(c2ccccc2)OC1=O,4.522878745280337,,,False,,
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,,6.017728766960432,,,False,
CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccc(F)cc3F)CC2)nc1C,5.3872161432802645,,5.853871964321762,False,,False
COCCCN1CCC(NC(=O)c2nc(C(C)C)n3ccccc23)CC1,,,4.787812395596042,,,False
Cc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5CCOCC5)cc4)n[nH]c3c1)C(=O)N2,6.0,,5.337242168318426,False,,False
CC(C)c1c(-c2nnc(OC3CCNCC3)o2)cn2ncnc(Nc3cc(C(=O)NC4CC4)c(F)cc3F)c12,,,5.301029995663981,,,False
CNCc1cnc(C)cc1Oc1ccccc1Oc1ccccc1,,5.468521082957745,,,False,
Cc1ccc2c3c(ccc2n1)OC[C@H](CN1CCN(c2ccc4cc(C#N)ccc4n2)CC1)O3,4.0,,5.0,True,,False
c1nc(CC2CCN(CCCOc3ccc(OC4CCCCC4)cc3)CC2)c[nH]1,,6.522878745280337,,,False,
CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(CC(C)(C)O)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,,,4.958607314841775,,,False
CN1CCc2cc3ccn(S(=O)(=O)c4cccc(Cl)c4)c3cc2CC1,,,4.1487416512809245,,,False
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)C(=O)c1ccc2nc(N)sc2c1,,,7.721246399047171,,,False
Cc1cc(-c2ccc(F)cc2)cc2[nH]c(-c3c(N[C@H](CO)Cc4ccccc4)cc[nH]c3=O)nc12,5.3979400086720375,,5.200659450546418,False,,False
CN1CCN(c2cn(S(=O)(=O)c3ccc(F)cc3)c3ccccc23)CC1,,4.578396073130169,5.3214816209598865,,False,False
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,5.087390069026101,,,False,,
OC(CC1c2c(F)cccc2-c2cncn21)C1CCCCC1,,5.698970004336019,5.698970004336019,,False,False
NC(=O)Nc1cccc(O[C@H]2c3ccccc3C[C@@H]2N2CCC[C@@H](N)C2)c1,,5.0655015487564325,,,False,
CCCC1(O)CCN(C(=O)CC2([C@H]3CCC[C@@H](CC)N3S(=O)(=O)c3ccc(Cl)cc3)CC2)CC1,,,5.301029995663981,,,False
CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(O)c1,,4.366531544420414,,,False,
O=C(Nc1nccs1)N1CCC(Cc2c[nH]cn2)CC1,,5.698970004336019,,,False,
CN(CC(=O)N(C)C(CN1CCOCC1)c1ccc(-c2ccccc2)cc1)c1ccc(Cl)c(Cl)c1,,4.795880017344075,5.6777807052660805,,False,False
COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(-c3ccccc3OC(F)(F)F)c12,,,5.698970004336019,,,False
CC(C)(c1cc(-c2cccc(CC(F)(c3ccc(S(C)(=O)=O)cc3)S(=O)(=O)C3CC3)c2)c2ncccc2c1)S(C)(=O)=O,5.42021640338319,,,False,,
Clc1ccc(CN(C2CC2)C2CNC2)cc1Cl,4.889410289700751,,6.301029995663981,False,,False
Cc1cc(C(=O)NC2CCCCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,,,4.958607314841775,,,False
CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccc(O)cc1C#N,,6.508638306165727,,,False,
Cc1cc(-c2cc(=O)[nH]c(NCc3cccc4ccccc34)n2)ccn1,6.3979400086720375,,6.154901959985743,False,,False
O=C(NCc1nc2cccnc2n1C1(c2ccccc2)CC1)[C@@H](Cc1c(F)ccc(F)c1F)NC(=O)C1(C(F)(F)F)CC1,,,6.008773924307505,,,False
COc1ccccc1C1C(C(=O)C(C)C)=C(O)C(=O)N1c1ccc(-c2ccsc2)cc1,4.7447274948966935,,,False,,
NCC#Cc1cnccc1-c1ccccc1,,,4.4089353929735005,,,False
Cc1cc(N2CCC(N3CCOCC3)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,,,5.769551078621726,,,False
Cc1ccc2c(N3CCN(CCc4cccc(N5CCNC5=O)c4)CC3)cccc2n1,4.221848749616356,4.0655015487564325,4.173925197299173,False,False,False
Cc1cc(-c2cnc3ccn(CC(=O)N4CCCCC4)c3c2)ccc1F,5.920818753952375,,,False,,
N[C@H]1CC[C@](CCNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)(c2ccccc2)CC1,,,5.173925197299173,,,False
CN(C[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C(=O)C(C)(F)F,,7.0,,,False,
CNC(=O)CCC1(c2ccccc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1,5.0,,5.0,False,,False
Fc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,,4.568636235841012,,,False,
CC1(CC(=O)NCc2ccccc2N2CCCCC2)CC2(CCCCC2)OO1,,,5.795880017344075,,,False
Cc1cc(C[C@@H](NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)C(=O)N2CCC(N3CCCCC3)CC2)c(Cl)c2cn[nH]c12,,,5.5934598195660445,,,False
Cc1cc(C(C)(C)NC(=O)C(Br)C(C)(C)C)cc(C)n1,,,4.886056647693163,,,False
COCCN1CCN(C(=O)c2nc3cc(C(F)(F)F)c(C)c([N+](=O)[O-])c3s2)CC1,,4.23210238398191,,,False,
N[C@@H](CC(=O)N1CCC[C@H]1CNc1ccc(F)cn1)Cc1cc(F)c(F)cc1F,,6.096910013008056,,,False,
C=CCC(OC)[C@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,,5.522878745280337,,,False
O=C(NCC1CCOCC1)c1cnc(Nc2cc(Cl)cc(Cl)c2)nc1C(F)(F)F,4.886056647693163,,,False,,
CC(C)(C)CCC1(C(=O)c2ccc(N)c(Cl)c2)CCNC1,,5.3979400086720375,,,False,
CN(C)CCCn1c(=O)n(C2CCN(C(=O)C3CCN(Cc4ccncc4)CC3)CC2)c2ccccc21,,5.795880017344075,,,False,
CNC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2,,,5.3979400086720375,,,False
C1=CCC(c2ccc3ccccc3c2)CNC1,,5.180456064458132,,,False,
CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@@H]1O,,,4.007446482167865,,,False
COc1ccccc1[C@H]1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,,4.795880017344075,,,False,
CC(C)N1CCC(Oc2ccc3c(c2)cc2n3CCN(Cc3ccc(F)cc3)C2=O)CC1,,4.455931955649724,,,False,
CCC1CN(C(=O)Nc2ccccc2)c2ccc(-c3ccc(OCC(C)(C)C(=O)O)nc3)cc2O1,6.301029995663981,,,False,,
c1cn(Cc2ccc3c(c2)-c2[nH]nc(-c4ccsc4)c2C3)cn1,,,6.5951662833800615,,,False
O=S(=O)(c1ccccc1F)c1cc(Cl)ccc1S(=O)(=O)N1CCC(CO)(CNS(=O)(=O)C(F)(F)F)CC1,6.0,,,False,,
O=C(NO)c1cnc(N2C[C@@H]3[C@H](C2)[C@H]3NCc2ccc(Cl)cc2)nc1,,5.0,,,False,
CN/C(=N\CCSCc1nc[nH]c1C)NC#N,,,4.0,,,True
Cc1c(COc2cccc(OCC3CCOCC3)n2)[nH]c2ccccc2c1=O,,5.154901959985743,,,False,
CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3cc(F)c(F)cc3[nH]2)o1,,,5.075720713938118,,,False
c1ccc(COc2ccc3c(c2)CCN(CC2CC2)CC3)cc1,,5.823908740944319,,,False,
COc1ccc(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccccn3)n2)cc1,,,5.7447274948966935,,,False
CN[C@@H](Cn1c(=O)c(-c2cccc(OCCOCC(=O)O)c2F)c(C)n(Cc2c(F)cccc2C(F)(F)F)c1=O)c1ccccc1,,,5.0,,,False
N#Cc1cc(S(=O)(=O)Nc2ncns2)ccc1Oc1ccc(C(F)(F)F)cc1-c1cccnn1,6.493494967595128,,,False,,
Cn1cnc(C(=O)N(Cc2cccc(OC(F)(F)F)c2)[C@@H]2C[C@@H]3CN(CC(C)(C)O)C[C@@H]3C2)c1,,5.958607314841775,,,False,
Cc1nc2ccc(-c3ccc(Cl)cc3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,,5.017728766960431,,,False,
COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NC(=O)OCc2ccccc2)C(C)C)ccc1OC,,,4.8297382846050425,,,False
CC(C)(Cc1csc2ccccc12)NCC(O)COc1ccccc1C#N,,7.301029995663981,,,False,
Cn1c(NCCc2ccc(-c3ncc(Cl)cn3)cc2)nc2cc(Cl)ccc2c1=O,,,4.795880017344075,,,False
CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)c1,,7.3979400086720375,,,False,
C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(NCCO)c4)ccc32)sc1C(N)=O)c1ccccc1Cl,6.698970004336019,,5.431798275933005,False,,False
COc1ccc2[nH]c(SCc3ccccn3)nc2c1,6.259637310505756,4.881074247174223,5.396855627379818,False,False,False
CC(C)(C)NC(=O)c1c[nH]c2ncc(-c3nn(CCC(O)CO)c4ccc(OC(F)F)cc34)nc12,5.096910013008056,,,False,,
CCS(=O)(=O)c1cc2cc(C[C@](O)(CC(C)(C)c3ccc(F)cc3C(N)=O)C(F)(F)F)[nH]c2cn1,,4.3872161432802645,4.840968332518619,,False,False
Nc1cc(CN2CCC(F)(C(=O)N3CCC(N4Cc5ccccc5Cc5ccccc54)CC3)CC2)ccn1,5.3979400086720375,,4.7447274948966935,False,,False
CC(C)(c1cc(-c2cccc(CC(C(=O)c3cccnc3)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1)S(C)(=O)=O,6.698970004336019,,,False,,
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(CO)cc3)cc2)[nH]1)C(C)C,4.505845405981557,,5.161150909262744,False,,False
CC[C@@H]1C[C@@H](OC)C[C@H](COC(=O)N2CCN(CCO)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,,,4.759278685748847,,,False
Cc1ccc(Cn2c(N3CCC(N(C)C)CC3)nc3ccccc32)cc1,,5.142064735280571,,,False,
CC(C)C[C@H](NC(=O)CCN)c1cccc(F)c1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,,,5.173925197299173,,,False
O=c1[nH]c2cc(-c3ccccc3Cl)ccc2c2[nH]c(-c3c(F)cccc3Cl)nc12,4.6777807052660805,,,False,,
C=CCn1c(C)c(C)c2cc(-n3ccccc3=O)nc(NCc3c(C)cccc3C)c21,6.301029995663981,4.585026652029182,5.619788758288394,False,False,False
Cc1ccc(-c2ccc(NC(=O)CN3CCCC4=C3C(=O)N(C3CC3)C4=O)nn2)cn1,,,5.096910013008056,,,False
Nc1ccccc1-c1nc(N)c2ccccc2n1,,4.0,,,True,
C[C@H]1SC(N)=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](c3cnn(C)c3)C[C@@H]12,,4.703334809738469,,,False,
CCCS(=O)(=O)Nc1cccc(C(=O)c2c[nH]c3ncc(-c4cnc(N(C)C)nc4)cc23)c1F,5.301029995663981,,,False,,
CCC(=O)CCCCC[C@H](NC(=O)C1CN(C)C1)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,5.259637310505756,,,False,,
CC(C)(C)c1cc(/C=C2\CC/C(=C\c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)C2=O)cc(C(C)(C)C)c1O,,4.0,,,True,
COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccc(N4CCOCC4)cc3OC)n1)CCN(CC(=O)N(C)C)CC2,5.7447274948966935,,,False,,
CN(C)CCc1sc2ccccc2c1Cc1ccc(F)cc1,,6.698970004336019,,,False,
CCc1ccc(-c2ccc(C(=O)N(C)[C@H]3CCN(C(=O)N4CC[C@@H](N[C@@H](C)COC)C4)C3)cc2)cc1,,4.600000074606178,,,False,
COc1cc(N2C(=O)CN(Cc3ccc(F)cc3Cl)C2=S)ccc1N(C)C,,,5.110138278741812,,,False
CN1CCCC(c2nc3ccccc3n2Cc2ccc(F)cc2)C1,,5.6020599913279625,,,False,
CCOC(=O)C(Cc1ccc(Cl)cc1Cl)c1ccno1,,,4.920818753952375,,,False
Oc1cccc(-c2ccc3c(-c4cccnc4)c(O)ccc3c2)c1,6.823908740944319,4.6401645176601125,6.657577319177793,False,False,False
CC1(C)OC(=S)Nc2ccc(S(=O)(=O)N3c4ccccc4COc4cc(F)ccc43)cc21,6.401209493236885,5.3872161432802645,6.440093374963888,False,False,False
C[C@H](C1=C(CCN(C)C)Cc2ccccc21)c1cnccn1,,4.296708621881338,,,False,
O=C(c1cccc(Cl)c1)N1CCC(=CC#Cc2cccc(Cl)n2)CC1,,4.896196279044043,,,False,
CNC(=O)N1CC[C@@H](CN2CCC[C@@H](Cc3ccc(F)cc3)C2)[C@H](NC(=O)Nc2nc(C)c(C(C)=O)s2)C1,,5.920818753952375,,,False,
Cc1ccc(-c2cc(Br)ccc2OCc2ccccc2)n1-c1cccc(C(=O)O)c1,5.167491087293763,,,False,,
N=C(N)NC(=O)c1ccc(C2CCN(C(=O)C3CC3)CC2)c(C(F)(F)F)c1,,4.769551078621726,4.795880017344075,,False,False
COC1CCN(c2cc(C)c3nc(-c4c(NC[C@@H](O)c5cccc(Cl)c5)cc[nH]c4=O)[nH]c3c2)CC1,,,9.0,,,False
CC(F)CN1C[C@H]2C[C@@H](N(Cc3cccc(OC(F)(F)F)c3)C(=O)c3cn(C)cn3)C[C@H]2C1,,5.886056647693163,5.102372908709558,,False,False
CC(C)(C)Cn1cc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)[C@@H]2O)cn1,,,5.173925197299173,,,False
O=C(NCc1ccncc1)c1nnc(CS(=O)(=O)c2ccccc2)o1,,5.2441251443275085,,,False,
O=C(Nc1cccnn1)N1CCC(=Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1,,4.838631997765026,,,False,
CC(C)(C)c1cc(NC(=O)[C@@H]2CCCN2c2ccc(Cl)cc2)no1,4.337242168318426,,,False,,
CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)c2cccc(F)c2)c2ccccc2N(Cc2c(OC)ccc3cc(Br)ccc23)C1=O,,,5.920818753952375,,,False
O=S(=O)(c1ccc2[nH]c(SCc3cccc(Cl)c3)nc2c1)N1CCOCC1,5.823908740944319,4.958607314841775,5.721246399047171,False,False,False
CC1Cc2c(Cl)cccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(=O)O,,,4.3979400086720375,,,False
Cc1cccc(C#C/C=C2\CCN(C(=O)c3cccc(Cl)c3)C2)n1,,,4.889410289700751,,,False
CNCC(=O)N[C@@H](CC(C)C)c1ccccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,,,5.638272163982407,,,False
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,,,4.886056647693163,,,False
O=C(Nc1ccc(-c2ccnc3[nH]cnc23)cc1)Nc1cccc(C(=O)N2CCCCC2)c1,,,7.102372908709558,,,False
CNS(=O)(=O)c1ccc2c(c1)CC(C(=O)N(C)[C@H](CN1CC[C@H](O)C1)c1ccccc1)O2,,7.958607314841775,,,False,
CC(C)(CCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)CNC1CCC(F)(F)CC1,,5.690369832574101,,,False,
Cc1cccc(C)c1CNc1cccc2c1nc(C)n2C,5.055517327849831,,4.886056647693163,False,,False
N[C@@H](Cn1c(=O)c(-c2ccc(CNCC(=O)O)cc2)cn(Cc2c(F)cccc2C(F)(F)F)c1=O)c1ccccc1,,,4.443697499232712,,,False
C[C@@H](c1ccc(-c2ccncc2)cc1)N1CC[C@](CCCO)(c2ccccc2)OC1=O,,,5.7447274948966935,,,False
Cc1cc(Oc2cncnc2)cc(C(=O)Nc2ccc(Cl)cn2)n1,4.958607314841775,,,False,,
Cc1ncn(-c2ccc3c(c2)NC(=O)c2ccc(Cc4ccccc4)nc2N3)n1,,,5.698970004336019,,,False
CC(C)N1CCN(CCCN(C[C@H]2Cc3ccccc3CN2)[C@H]2CCCc3cccnc32)CC1,,5.1771783546968955,,,False,
CC(=O)Nc1ccc(-c2ccc(C(CN3CCOCC3)N(C)C(=O)CN3C(=O)COc4cc(C)c(C)cc43)cc2)cc1,,4.522878745280337,5.1938200260161125,,False,False
CCc1c(CCCC(=O)O)cccc1-c1nsc(-c2ccc(OC(C)C)c(C#N)c2)n1,5.300000202445418,,,False,,
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@]23OC(=O)Cc2ccccc23)C2CC2)cc(OCCOC)c1,,,5.251811972993799,,,False
CC[C@@H](OCc1ccccc1)[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc1c(C)cc(C)cc1C)C(=O)O,6.167491087293763,,,False,,
O=C(N[C@H](Cc1cc(Br)c2[nH]c(=O)oc2c1)C(=O)N1CCC(N2CCCCC2)CC1)N1CCC(N2Cc3ccccc3NC2=O)CC1,,,5.142667503568731,,,False
Cc1cn(Cc2ccc(Cl)cc2Cl)c2c(/C=C/C(=O)NS(=O)(=O)c3cc(Cl)c(Cl)s3)cc(F)cc12,,,5.823908740944319,,,False
C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)N1CC[C@](CC(C)(C)O)(c2ccccc2)OC1=O,4.605548319173784,,,False,,
N#CCN(CC(=O)N1CCCC(c2ccccc2)C1CN1CCOCC1)c1ccc(Cl)c(Cl)c1,,5.431798275933005,,,False,
O=C(Nc1ccc(-c2nnn[nH]2)cc1F)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,5.1487416512809245,4.508638306165727,5.113509274827518,False,False,False
CC(C)C[C@H](NCCCN)c1cc(C(F)(F)F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,,,4.823908740944319,,,False
O=C(NCc1ccc(S(=O)(=O)c2ccccc2)cc1)N1Cc2ccncc2C1,7.301029995663981,5.301029995663981,,False,False,
CCCn1cc(S(=O)(=O)c2ccc(CNC(=O)c3cc4ccncc4o3)cc2)cn1,7.154901959985743,,5.2441251443275085,False,,False
CN[C@@H](C)C(=O)N[C@@H]1C(=O)N(Cc2c(OC)ccc3ccccc23)c2ccccc2N(C(=O)CS(C)(=O)=O)[C@H]1C,,,5.013228265733755,,,False
O=C(O)c1cccc(C2=C(c3cc(Cl)ccc3OCc3ccccc3)CCC2)c1,5.2441251443275085,,,False,,
CCc1ncnc2cc(OCC(O)CNC(C)(C)Cc3cc4ccccc4[nH]3)c(OC)cc12,,7.3979400086720375,,,False,
CCS(=O)(=O)N(Cc1cccnc1)c1cncc(-c2nc3ccccc3s2)c1,,,5.982966660701219,,,False
CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,5.698970004336019,,5.3979400086720375,False,,False
CN1C[C@@H]2CCCC[C@]2(c2ccc3ccccc3c2)C1,,5.559136532311791,,,False,
CC1CCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)CCN1,6.031517051446065,,,False,,
O=C(NCC1CCOCC1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F,4.7447274948966935,,4.292429823902063,False,,False
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc([S+](C)[O-])cc2)cc1,4.585026652029182,,,False,,
CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CCN(Cc2ccccc2)C(=O)OCc2cncs2)Cc2ccccc2)cs1,5.0915149811213505,5.886056647693163,,False,False,
CC(=O)c1cc(NC(=O)N[C@H](C)C[C@@H](O)N2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(C(C)=O)c1,,4.975390988664909,,,False,
O=S1(=O)CCC(COc2ccc3c(c2)CCC2(CCN(C4CCC4)CC2)O3)CC1,,4.958607314841775,,,False,
COc1cccc2c1CCN2C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,,,4.3979400086720375,,,False
