SMILES,pac50_cyp1a2,pac50_cyp2c19,pac50_cyp2c9,pac50_cyp2d6,pac50_cyp3a4,weight_cyp1a2,weight_cyp2c19,weight_cyp2c9,weight_cyp2d6,weight_cyp3a4
Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,5.899998417198649,5.200000237109354,5.0,5.700000503883016,,0.7,0.7,0.7,0.7,
Br/C(=N\Nc1nn[nH]n1)c1ccncc1,,,,,5.300000202445418,,,,,0.15
BrC(c1cccc2ccccc12)c1cccc2ccccc12,5.899998417198649,5.899998417198649,5.499999678657065,,,0.7,0.7,0.7,,
Brc1[nH]nc2ccccc12,5.800000874803203,4.949999401714239,,,,1.0,0.7,,,
Brc1c(NC2=NCCN2)ccc2nccnc12,4.40000018605658,,,,6.40000018605658,0.15,,,,0.4
Brc1cc2c(cc1/C=N/Nc1nc(N3CCCC3)nc(N3CCOCC3)n1)OCO2,4.800000874803203,5.100000128334196,5.149999867728904,4.550000451689026,5.550000451689026,0.7,0.7,0.7,0.15,1.0
Brc1ccc(-c2csc(N3CCC(c4ccccc4)C3)n2)cc1,5.59999938302362,5.0,5.0,,,1.0,0.7,0.7,,
Brc1ccc(-c2csc(N3CCc4ccccc4C3)n2)cc1,5.40000018605658,4.899998417198648,4.450000476425332,4.849999245077862,,1.0,0.7,0.7,0.7,
Brc1ccc(-c2nnc(-c3cccc(Br)c3)o2)cc1,6.499999678657065,,,,,1.0,,,,
Brc1ccc(-c2nnc(-c3ccccc3)c(N3CCSCC3)n2)cc1,5.899998417198648,4.849999245077862,5.0,,,1.0,0.7,0.7,,
Brc1ccc(/C=C/C=N/Nc2nc3ccccc3s2)cc1,5.650000220873455,5.450000476425332,5.149999867728904,,,1.0,1.0,1.0,,
Brc1ccc(CSc2nccn2-c2ccccc2)cc1,6.40000018605658,6.499999678657065,4.849999245077862,4.849999245077862,5.100000128334196,1.0,1.0,0.7,0.7,0.7
Brc1ccc(N=C/C=C/C=C/Nc2ccc(Br)cc2)cc1.Cl,4.849999245077862,4.849999245077862,4.700000503883016,4.59999938302362,,0.7,0.7,0.7,0.7,
Brc1ccc([C@H]2CN3CCSC3=N2)cc1,4.800000874803203,,,,4.59999938302362,0.7,,,,0.7
Brc1ccc2cccnc2c1,5.59999938302362,6.499999678657065,,,,1.0,0.7,,,
Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,5.800000874803203,5.550000451689026,5.59999938302362,4.849999245077862,,1.0,0.4,1.0,0.7,
Brc1ccccc1OCCOCCOc1cccc2cccnc12,5.650000220873455,5.499999678657065,4.949999401714239,,4.40000018605658,1.0,0.15,0.4,,0.15
C#CCCCC(=O)Nc1ccccc1,4.700000503883016,,,4.899998417198648,4.59999938302362,0.7,,,0.7,0.7
C#CCCCC(=S)Nc1ccccc1,4.899998417198648,4.40000018605658,4.40000018605658,4.40000018605658,4.59999938302362,0.7,0.15,0.15,0.15,0.7
C#CCCCCCCCCCCCCCCCC(=O)O,5.200000237109354,4.59999938302362,4.899998417198648,4.700000503883016,,1.0,0.4,1.0,0.4,
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@@H]12,,6.59999938302362,,5.800000874803204,5.499999678657065,,1.0,,0.7,0.15
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@H]12,,,,5.40000018605658,5.40000018605658,,,,0.15,0.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@@H]12,,,,,5.499999678657065,,,,,0.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@H]12,,,,,5.40000018605658,,,,,0.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@@H]12,,,,,5.499999678657065,,,,,0.15
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@H]12,,,,,5.300000202445418,,,,,0.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@@H]12,,,,,5.40000018605658,,,,,0.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@H]12,,,,,5.200000237109354,,,,,0.15
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@@H]12,,5.300000202445418,,5.200000237109354,6.300000202445418,,0.7,,0.15,1.0
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@H]12,,,,,5.899998417198649,,,,,0.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]3CC[C@H]12,,5.300000202445418,,,5.40000018605658,,0.15,,,0.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@@H]12,,,,,5.40000018605658,,,,,0.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@H]12,,,,,5.40000018605658,,,,,0.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@@H]12,,,,5.40000018605658,5.499999678657065,,,,0.7,0.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@H]12,,,5.700000503883016,5.40000018605658,5.40000018605658,,,0.7,0.15,0.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@@H]12,,8.200000237109354,,,5.499999678657065,,0.4,,,0.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@H]12,,,5.800000874803204,,5.40000018605658,,,0.7,,0.7
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n([C@@H](CC)c3ccccc3)c(=O)n12,,,,,5.40000018605658,,,,,0.7
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,6.500000555956278,5.4235292768011485,,6.111765022808642,4.59999938302362,1.0,1.0,,1.0,0.15
C#CCN(C)[C@@H](C)Cc1ccccc1,4.79999969151181,,,4.811763435232401,,0.7,,,0.7,
C#CCN(C)[C@H](C)Cc1ccccc1,4.899998417198648,,,,,0.7,,,,
C#CCN1C(C)=C(C(=O)CCO)[C@@H](c2cccc(-n3oo3)c2)C(C(=O)OC)=C1C,4.899998417198648,,,6.200000237109354,5.499999678657065,0.7,,,1.0,1.0
C#CCN1C(C)=C(C(=O)OC)[C@@H](c2cccc([N+](=O)[O-])c2)C(C(=O)OCC)=C1C,4.899998417198648,5.300000202445418,6.499999678657065,4.800000874803203,5.499999678657065,0.7,1.0,1.0,0.4,1.0
C#CCN[C@@H](C)Cc1ccccc1,4.800000874803203,,,4.59999938302362,,0.7,,,0.7,
C#CCOC(=O)C1=CCCN(C)C1,4.59999938302362,,,4.499999678657065,,0.7,,,0.7,
C#CCOC(=O)C1=CCCN(C)C1.Cc1ccc(S(=O)(=O)O)cc1,4.40000018605658,,,4.800000874803203,,0.4,,,0.7,
C#CCOC(=O)NC(/C=C/CCCC)c1ccccc1,4.800000874803203,4.59999938302362,4.800000874803203,4.700000503883016,4.899998417198648,0.7,0.15,0.15,0.15,0.7
C#CCOC(=O)Nc1ccc(=O)n(Cc2c(Cl)cccc2Cl)c1,4.899998417198648,5.800000874803203,5.800000874803203,4.700000503883016,,0.7,1.0,1.0,0.15,
C#CCSc1n[nH]c(-c2ccco2)n1,5.700000503883016,,,,,0.7,,,,
C#CCSc1nc(Cc2ccc(Cl)cc2)nc2ccccc12,5.899998417198648,6.300000202445418,5.550000451689026,,4.800000874803203,1.0,1.0,1.0,,0.7
C#CCSc1nnc(-c2cc3c(C(F)(F)F)nn(C)c3s2)n1C,5.949999401714238,,,,5.100000128334196,1.0,,,,0.7
C#CCSc1nnc(-c2sc(-c3ccccc3)nc2C)n1C,5.349999603463148,5.59999938302362,4.749999855918706,5.200000237109354,6.0,0.7,1.0,0.4,0.7,1.0
C#CCSc1nnc(-c2sc3ccccc3c2Cl)o1,6.899998417198648,,,,5.049999969853415,1.0,,,,0.15
C#CCSc1nncn1C(=O)/C=C/c1ccccc1,4.800000874803203,4.800000874803203,5.40000018605658,,,0.7,0.7,0.7,,
C#CC[N+](CC)(CC)CC#Cc1cccc(Cl)c1.[Br-],,,,5.650000220873455,,,,,1.0,
C#CCn1c(S(=O)(=O)Cc2ccc(OC)cc2)nc(-c2ccccc2)c1-c1ccccc1,,5.650000220873455,5.550000451689026,4.849999245077862,5.200000237109354,,1.0,1.0,0.7,0.7
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@]21C,4.899998417198648,7.200000237109354,5.300000202445418,4.800000874803203,,0.7,1.0,0.7,0.15,
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21C,,5.300000202445418,,,4.899998417198648,,0.7,,,0.7
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21CC,,7.100000128334196,,,4.899998417198648,,1.0,,,0.7
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]21C,,6.300000202445418,,,,,0.4,,,
C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@H]4[C@H]3CC[C@]21C,,4.800000874803203,4.800000874803203,,,,0.15,0.7,,
C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=CCCC[C@@H]4[C@@H]3CC[C@@]21C,4.899998417198648,5.40000018605658,5.0,,4.899998417198648,0.15,0.7,0.7,,0.7
C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=Cc5oncc5C[C@]4(C)[C@@H]3CC[C@@]21C,5.0,6.200000237109354,5.899998417198648,5.0,5.300000202445418,0.7,0.7,1.0,0.7,0.7
C#C[C@]1(O)CC[C@@H]2[C@H]3CCc4cc(OC)ccc4[C@@H]3CC[C@@]21C,6.300000202445418,5.899998417198648,,,5.0,1.0,1.0,,,0.7
C#C[C@]1(O)CC[C@H]2[C@H]3CCC4=Cc5oncc5C[C@]4(C)[C@@H]3CC[C@]21C,4.899998417198648,,,,5.300000202445418,0.7,,,,0.7
C(/C=C/c1ccco1)=N/N1CCN(c2ccccc2)CC1,5.049999969853415,5.700000503883016,,,,0.7,0.4,,,
C(/C=C\c1ccccc1)=Nc1ccc2c(c1)Cc1ccccc1-2,6.40000018605658,5.40000018605658,,,5.40000018605658,1.0,0.7,,,0.7
C(=C/c1nnc(-c2cccs2)o1)\c1ccccc1,5.59999938302362,4.650000220873455,4.849999245077862,4.650000220873455,,1.0,0.7,0.7,0.7,
C(=C1\CCCC2=C1Nc1ncnn1C2c1ccccc1)\c1ccccc1,5.0,,5.100000128334196,,,0.7,,0.7,,
C(=C\c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.100000128334196,,4.800000874803203,5.300000202445418,,0.7,,0.15,1.0,
C(=C\c1ccccc1)\CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,4.700000503883016,5.0,5.300000202445418,5.300000202445418,,0.7,1.0,1.0,1.0,
C(=N/N(c1ccccc1)c1ccccc1)\c1ccc2c(c1)OCO2,5.700000503883016,5.59999938302362,5.049999969853414,5.0,4.800000874803203,1.0,0.7,0.4,0.7,0.7
C(=N/N1CCN(C2c3ccccc3-c3ccccc32)CC1)\c1cccnc1,5.40000018605658,6.59999938302362,6.700000503883016,6.200000237109354,4.899998417198648,1.0,1.0,1.0,1.0,0.7
C(=N/Nc1nc(Nc2ccccc2)nc(N2CCOCC2)n1)\c1c[nH]c2ccccc12,5.0,5.049999969853415,4.749999855918706,,4.800000874803203,0.7,1.0,0.4,,0.7
C(=N/n1cnnc1)\c1cccn1-c1ccccc1,5.049999969853415,7.599999383023621,5.300000202445418,,4.40000018605658,1.0,0.4,0.7,,0.15
C(=NCCN1CCOCC1)=NC1CCCCC1,5.200000237109354,,,,,0.15,,,,
C(=N\Nc1ccccn1)\c1cccnc1,5.899998417198649,,,,5.40000018605658,0.7,,,,0.7
C(=N\Nc1nnc2c(n1)[nH]c1ccccc12)\c1cccnc1,6.200000237109354,,,,5.40000018605658,0.7,,,,0.7
C(=Nc1ccc2c(c1)Cc1ccccc1-2)c1ccccn1,6.499999678657065,6.200000237109354,5.40000018605658,,5.499999678657065,1.0,0.7,0.15,,0.7
C(=Nc1cnc2ccccc2c1)c1ccc2ccccc2n1,5.40000018605658,,,,,0.7,,,,
C(CCc1nnc2c(n1)CCCC2)Cc1nnc2c(n1)CCCC2,5.300000202445418,,,,5.40000018605658,0.7,,,,0.7
C/C(=C(/CCO)SSC[C@@H]1CCCO1)N(C=O)Cc1cnc(C)nc1N,,,,,5.0,,,,,0.7
C/C(=C/C(=O)NCc1ccccc1)C(=O)O,,,7.400000186056581,,,,,0.4,,
C/C(=C1/SC(N2CCCC2)=NC1=O)c1ccc(Br)cc1,5.499999678657065,5.100000128334196,5.650000220873455,,,1.0,0.7,1.0,,
C/C(=C\C(=O)c1ccc(Br)cc1)NCc1ccc2c(c1)OCO2,5.849999245077863,5.049999969853415,4.949999401714239,5.100000128334196,5.59999938302362,1.0,0.7,0.7,0.7,1.0
C/C(=C\C(=O)c1ccc(Cl)cc1)NCc1ccc2c(c1)OCO2,6.0,5.59999938302362,5.100000128334196,5.300000202445418,6.100000128334196,1.0,1.0,0.7,0.7,0.7
C/C(=C\C(=O)c1ccccc1)Nc1ccc(Br)c(Cl)c1,5.0,5.700000503883016,4.949999401714239,4.800000874803203,4.849999245077862,0.7,1.0,0.7,0.7,0.7
C/C(=C\C1CCCCC1)C(NC(=O)c1ccc(C(F)(F)F)cc1)c1ccc(-c2ccccc2)cc1,,,,,4.899998417198648,,,,,0.7
C/C(=C\C1CCCCC1)C(NC(=O)c1cccnc1)c1ccc(-c2ccccc2)cc1,5.300000202445418,5.0,5.0,,5.40000018605658,1.0,0.7,0.7,,1.0
C/C(=C\[C@@H](N)C(=O)O)CP(=O)(O)O,4.59999938302362,,,5.499999678657065,,0.4,,,1.0,
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,4.499999678657065,5.40000018605658,,7.899998417198648,,0.4,1.0,,1.0,
C/C(=C\c1ccc(Cl)cc1)C(C)(C)C(=O)O,,,5.499999678657065,,,,,0.15,,
C/C(=C\c1ccc(N(C)C)cc1)[N+](=O)[O-],5.849999245077863,4.849999245077862,4.499999678657065,,4.849999245077862,1.0,0.7,0.4,,0.7
C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2n[nH]c(-c3ccccc3)c21,6.700000503883016,5.650000220873455,7.049999969853415,4.499999678657065,5.40000018605658,1.0,1.0,1.0,0.7,0.7
C/C(=N/NC(=O)Cc1cccn1C)c1ccccc1,4.700000503883016,5.0,4.59999938302362,,,0.7,0.7,0.7,,
C/C(=N/NC(=O)c1ccc(C)s1)c1cccc(NC(=O)COc2ccc(Cl)cc2C)c1,5.40000018605658,5.499999678657065,5.899998417198648,,5.949999401714238,1.0,0.7,1.0,,0.15
C/C(=N/NC(=O)c1ccc(NC(=O)c2ccc(F)cc2)cc1)c1ccccc1,,,5.300000202445418,,,,,0.7,,
C/C(=N/NC(=O)c1cccs1)c1ccc(NC(=O)COc2ccc(Cl)cc2Cl)cc1,4.899998417198648,4.849999245077862,5.349999603463148,,,0.7,0.7,0.7,,
C/C(=N/NC(=O)c1ccncc1)c1ccccc1Cl,,,,,5.40000018605658,,,,,0.7
C/C(=N/NS(=O)(=O)c1ccc(C)cc1)c1cccc(NC(=O)c2cccc(Cl)c2)c1,4.849999245077862,5.700000503883016,5.40000018605658,5.349999603463148,5.849999245077864,0.7,1.0,0.7,1.0,0.7
C/C(=N/Nc1ccc2ccccc2n1)c1ccccc1O,5.800000874803204,5.499999678657065,5.59999938302362,6.100000128334196,5.499999678657065,0.7,0.4,0.7,0.7,0.7
C/C(=N/O)c1ccc2cc(Br)c3ccccc3c2c1,,5.999999999999999,,7.59999938302362,,,0.7,,1.0,
C/C(=N/OC(=O)c1ccc(F)cc1)c1ccc(C)cc1,4.849999245077862,,,,,0.7,,,,
C/C(=N/OC(=O)c1cccc(Cl)c1)c1nccs1,4.499999678657065,4.700000503883016,,4.450000476425332,,0.15,0.15,,0.15,
C/C(=N\N1CCN(C2c3ccccc3-c3ccccc32)CC1)c1cccnc1,4.899998417198648,5.349999603463148,6.250000251143582,5.700000503883016,5.550000451689026,0.7,1.0,1.0,1.0,1.0
C/C(=N\N1CCN(C2c3ccccc3-c3ccccc32)CC1)c1ccncc1,5.049999969853415,5.499999678657065,5.650000220873455,6.749999855918706,6.0,0.7,1.0,0.7,1.0,1.0
C/C(=N\N=C(c1ccccc1)c1ccccc1)c1cccs1,5.849999245077863,5.450000476425332,6.149999867728904,4.849999245077862,4.849999245077862,1.0,1.0,1.0,0.4,0.7
C/C(=N\NC(=O)C1CC1c1ccccc1)c1cccs1,4.800000874803203,5.650000220873455,4.949999401714239,,5.049999969853414,0.7,0.4,0.4,,0.4
C/C(=N\NC(=O)CC1N=C(Cc2ccccc2)NNC1=O)c1ccc(Cl)cc1Cl,,4.550000451689026,,4.800000874803203,5.899998417198649,,0.7,,0.4,0.7
C/C(=N\NC(=O)COc1ccc([N+](=O)[O-])cc1)C(C)(C)C,5.100000128334196,,,,4.550000451689026,0.7,,,,0.15
C/C(=N\NC(=O)CSCc1ccc(Cl)cc1)c1ccc2c(c1)OCCO2,5.100000128334196,5.899998417198648,5.100000128334196,6.250000251143582,4.849999245077862,0.7,1.0,0.7,1.0,0.7
C/C(=N\NC(=O)Cc1ccc(Cl)cc1)c1ccccn1,5.349999603463148,5.300000202445418,4.849999245077862,,4.849999245077862,1.0,0.7,0.7,,0.7
C/C(=N\NC(=O)Cc1ccccc1)c1cccs1,5.40000018605658,6.300000202445418,4.849999245077862,4.849999245077862,,0.7,1.0,0.7,0.7,
C/C(=N\NC(=O)c1[nH]c2c([N+](=O)[O-])cc(C)cc2c1-c1ccccc1)c1cccnc1,5.899998417198648,5.349999603463148,5.049999969853415,,5.949999401714238,1.0,1.0,0.7,,1.0
C/C(=N\NC(=O)c1ccc(Br)cc1)c1ccccc1,5.849999245077863,5.550000451689026,,,4.800000874803203,1.0,1.0,,,0.15
C/C(=N\NC(=O)c1ccc(Cl)cc1)c1ccc(Br)s1,5.899998417198648,4.749999855918706,,,4.849999245077862,1.0,0.4,,,0.7
C/C(=N\NC(=O)c1ccc(Cl)cc1)c1cccc(NC(=O)C(C)C)c1,5.450000476425332,4.749999855918706,,,4.800000874803203,1.0,0.7,,,0.7
C/C(=N\NC(=O)c1cccc(Br)c1)c1ccc(Br)cc1,6.550000451689026,6.650000220873455,,,4.550000451689026,1.0,0.7,,,0.15
C/C(=N\NC(=O)c1cccc(C)c1)c1cccc(NC(=O)c2ccco2)c1,4.849999245077862,4.40000018605658,4.40000018605658,,,0.15,0.15,0.15,,
C/C(=N\NC(=O)c1cccc(Cl)c1)c1cccc(NC(=O)C(C)C)c1,5.300000202445418,,,4.550000451689026,4.800000874803203,0.7,,,0.4,0.7
C/C(=N\NC(=O)c1cccc(F)c1)c1ccc(Br)s1,6.200000237109354,4.899998417198648,,,,1.0,0.4,,,
C/C(=N\NC(=O)c1ccccc1C)c1ccc(NC(=O)c2cccs2)cc1,4.650000220873455,4.499999678657065,4.849999245077862,,,0.15,0.15,0.7,,
C/C(=N\NC(=O)c1ccncc1)c1ccc2ccccc2c1O,5.40000018605658,6.300000202445418,7.0,,5.40000018605658,0.7,0.7,1.0,,0.7
C/C(=N\NC(=S)Nc1ccc(F)cc1)C1CC1,5.749999855918706,6.250000251143582,,,4.849999245077862,1.0,1.0,,,0.7
C/C(=N\NC(=S)Nc1cccc(C)c1)c1ccccc1,6.049999969853415,6.349999603463148,5.200000237109354,,5.049999969853415,1.0,1.0,0.7,,0.7
C/C(=N\NC(N)=O)c1ccc(Cl)cc1,5.499999678657065,4.499999678657065,5.700000503883016,,,1.0,0.4,0.4,,
C/C(=N\NC(N)=S)c1ccc[nH]1,5.499999678657065,,,,,0.7,,,,
C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1cccc(N)c1,5.899998417198648,5.899998417198648,5.250000251143582,4.749999855918706,5.450000476425332,1.0,1.0,0.7,0.15,1.0
C/C(=N\Nc1nc(-c2ccc(C)cc2)nc2ccccc12)c1ccc([N+](=O)[O-])cc1,5.100000128334196,5.300000202445418,4.40000018605658,,4.849999245077862,1.0,0.7,0.15,,0.7
C/C(=N\Nc1nc(N)cc(Cl)n1)c1cccc([N+](=O)[O-])c1,4.949999401714239,,4.849999245077862,,4.849999245077862,0.7,,0.7,,0.7
C/C(=N\Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1)c1cccc([N+](=O)[O-])c1,5.450000476425332,4.749999855918706,4.700000503883016,,4.450000476425332,1.0,0.15,0.7,,0.15
C/C(=N\O)c1ccc2[nH]ccc2c1,5.349999603463148,4.949999401714239,,,4.650000220873455,0.7,0.7,,,0.15
C/C(=N\O)c1cccc[n+]1Cc1ccccc1,,7.000000000000001,,5.40000018605658,,,0.15,,0.15,
C/C(=N\OC(=O)NC(C)C)c1sc(-c2ccc(Cl)cc2)nc1C,5.949999401714238,5.300000202445418,5.149999867728904,,4.499999678657065,1.0,1.0,0.7,,0.15
C/C(=N\OC(=O)NC(C)C)c1sc(-c2ccccc2)nc1C,5.700000503883016,5.0,4.949999401714239,,4.59999938302362,1.0,0.7,0.7,,0.15
C/C(=N\OC(=O)NC1CCCCC1)c1sc(-c2ccccc2)nc1C,5.149999867728904,5.250000251143582,4.949999401714239,4.550000451689026,4.800000874803203,0.7,0.7,0.7,0.15,0.7
C/C(=N\OC(=O)c1ccc(F)cc1)c1nccs1,4.550000451689026,4.749999855918706,,4.899998417198648,,0.15,0.7,,0.7,
C/C(=N\OC(=O)c1cccc(C)c1)c1sc(-c2ccccc2)nc1C,5.40000018605658,5.049999969853414,,,,1.0,0.4,,,
C/C(=N\OC(=O)c1ccccc1)c1cc(-c2ccc(Cl)cc2)no1,5.550000451689026,4.650000220873455,,,,1.0,0.4,,,
C/C(=N\OC(=O)c1ccccc1F)c1nccs1,4.499999678657065,4.450000476425332,,4.550000451689026,,0.15,0.15,,0.15,
C/C(=N\OCc1cccc(Cl)c1Cl)c1ccc(CC#N)s1,5.499999678657065,5.700000503883016,5.049999969853415,4.550000451689026,4.800000874803203,1.0,1.0,0.7,0.15,0.7
C/C(=N\n1nnnc1Nc1ccccc1)c1ccc(N)cc1,4.899998417198648,5.450000476425332,4.949999401714239,,4.650000220873455,0.7,1.0,0.7,,0.7
C/C(CC(=O)NC1CCCC1)=N\NC(=O)Cc1cccs1,,,,,4.899998417198648,,,,,0.7
C/C(CC(=O)NCCCN1CCOCC1)=N\NC(=O)COc1ccc(Cl)cc1,5.59999938302362,5.0,,4.849999245077862,4.800000874803203,1.0,0.4,,0.15,0.7
C/C(CC(=O)NCc1ccco1)=N\NC(=O)Cc1ccc(Cl)cc1,4.700000503883016,4.650000220873455,4.59999938302362,,4.800000874803203,0.15,0.15,0.15,,0.7
