Entry,INN,ID,Commercial,Brand,IUPAC,Structure,Molecular weight,Protein,Disease,Smile,Solubility (DB),g/L (HMDB),LogP (HSDB),pKa,Absorption,Protein binding,Major (minor) cytochrome,Principal metabolite,t1/2,Clearance (L/h),Toxicity,Mutagenicity (Ames),Carginogenic,Acute toxicity,FDA
11,Cabozantinib,XL184,Cabometyx,Exelixis Inc.,"N-(4-((6,7-dimethoxyquinolin-4-yl)oxy)phenyl)-N-(4-fluorophenyl)cyclopropane-1,1-dicarboxamide",,501.51,"PDGFR, VEGFR, c-KIT, MET","Medullary thyroid cancer (MTC), hepatocellular carcinoma (HCC)",COC1=CC2=C(C=C1OC)C(OC1=CC=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C=C1)=CC=N2,Insoluble,N.A.,N.A.,N.A.,High bioavailability,"> 99,7%",3A4 (2C9),N-oxide,55,4.4,Skin irritation,N.A.,N.A.,N.A.,Approved 04/2012
12,Regorafenib,BAY 73-4506,Stivarga,Bayer Healthcare Pharmaceuticals,4-(4-(3-(4-chloro-3-(trifluoromethyl)phenyl)ureido)-3-fluorophenoxy)-N-methylpicolinamide,,482.82,"FGFR, PDGFR, VEGFR, BRAF, c-KIT, RET",Metastatic both colorectal cancer GIST,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1,Insoluble,N.A.,N.A.,N.A.,Moderate bioavailability (69-83%),99.50%,3A4 & UGT1A9,"N-oxide, N-oxide+N-desmethyl",28,N.A.,Reproductive & aqueous toxicity,N.A.,N.A.,99%,Approved 09/2012
13,Afatinib,BIBW2992,Gilotrif,"Boehringer Ingelheim Pharmaceutical, Inc.","(S,E)-N-(4-((3-chloro-4-fluorophenyl)amino)-7-((tetrahydrofuran-3-yl)oxy)quiN.A.zolin-6-yl)-4-(dimethylamino)but-2-enamide",,485.94,"EGFR, HER2, HER4",metastatic NSCLC ,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,Low solubility,N.A.,N.A.,N.A.,Bioavailability up to 92%,95%,Covalent adducts to proteins,Covalent adducts to proteins,37,92,Respiratory toxicity,N.A.,N.A.,N.A.,Approval 06/2013
14,Nintedanib,BIBF-1120,Ofev,"Boehringer Ingelheim Pharmaceutical, Inc.",methyl (E)-2-hydroxy-3-(((4-(N-methyl-2-(4-methylpiperazin-1-yl)acetamido)phenyl)imino)(phenyl)methyl)-1H-indole-6-carboxylate,,539.64,"FGFR, PDGFR, VEGFR",Ideopatic pulmoN.A.ry fibrosis & NSCLC,CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O,Insoluble,9.66E-03,3,N.A.,"Very low bioavailability (4,7%)",98%,UGT enzymes,Hydrolytic cleabage: BIBF-1202,13.7,83,Skin irritation,N.A.,NO,80%,Approved 10/2014
15,Lenvatinib,E7080,Lenvima,Eisai Inc.,4-(3-chloro-4-(3-cyclopropylureido)phenoxy)-7-methoxyquinoline-6-carboxamide,,426.86,"VEGFR2, PDGFR, FGFR, RET, c-KIT","Differentiated thyropid cancer (DTC), hepatocellular carcinoma (HCC), reN.A.l cell carcinoma (RCC)",COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl,Insoluble,N.A.,3.3,5.05,High bioavailability,98-99%,3A4,N.A.,28,N.A.,Hypertension,N.A.,N.A.,N.A.,Approved 02/2015
16,Osimertinib,AZD-9291,Tagrisso,AstraZeneca,N-(2-((2-(dimethylamino)ethyl)(methyl)amino)-4-methoxy-5-((4-(1-methyl-1H-indol-3-yl)pyrimidin-2-yl)amino)phenyl)acrylamide,,499.62,EGFR,NSCLC,CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,Soluble,N.A.,N.A.,N.A.,Moderate bioavailability,> 90%,3A4,AZ7550 & AZ5104,48,14.2,N.A.,N.A.,N.A.,N.A.,Approved 11/2015
17,Brigatinib,AP-26113,Alunbring,Ariad Pharmaceuticals,(2-((5-chloro-2-((2-methoxy-4-(4-(4-methylpiperazin-1-yl)piperidin-1-yl)phenyl)amino)pyrimidin-4-yl)amino)phenyl)dimethylphosphine oxide,,584.1,"EGFR, IGFR, EML4-ALK",ALK-rearranged metastatic NSCLC,COC1=CC(=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2P(C)(C)=O)=N1)N1CCC(CC1)N1CCN(C)CC1,Insoluble,N.A.,5.17,N.A.,Low bioavailability,66%,2C8 & 3A4,N-demethylated & cysteine conjugated,25,12.7,Reproductive & aqueous toxicity,NO,N.A.,100%,Approved 04/2017
18,Neratinib,HKI-272,Nerlynx,"Puma Biotechnology, Inc.",(E)-N-(4-((3-chloro-4-(pyridin-2-ylmethoxy)phenyl)amino)-3-cyano-7-ethoxyquinolin-6-yl)-4-(dimethylamino)but-2-enamide,,557.05,"EGFR, HER2  & HER4",Advanced breast cancer,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C,Poorly soluble,N.A.,N.A.,N.A.,Moderate bioavailability (65-71%),99%,3A4,N.A.,7-17,216,Reproductive toxicity,N.A.,N.A.,N.A.,Approved 07/2017
19,Dacomitinib,PF299804,Vizimpro,Pfizer,(E)-N-(4-((3-chloro-4-fluorophenyl)amino)-7-methoxyquiN.A.zolin-6-yl)-4-(piperidin-1-yl)but-2-enamide,,469.95,"EGFR L858R, Del19, T790M, HER2, HER4",Non-small cancer: L858R,COC1=C(NC(=O)\C=C\CN2CCCCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,Soluble,< 1 mg/mL,3.92,N.A.,High bioavailability (80%),98%,2D6 & 2C9 (3A4),O-desmethyl,70,27,N.A.,NO,N.A.,N.A.,Approved 09/2018
20,Erdafitinib,LDK378,Balversa,Janssen,"N1-(3,5-dimethoxyphenyl)-N2-isopropyl-N1-(3-(1-methyl-1H-pyrazol-4-yl)quinoxalin-6-yl)ethane-1,2-diamine",,445.56,FGFR1-4,Urothlial cancer,CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC,Soluble,< 1 mg/mL,N.A.,N.A.,Moderate bioavailability (51-65%),99.80%,2C9 & 3A4,Uncharged erdafitinib,59,0.362,Reproductive toxicity & skin irritation,NO,N.A.,100%,Approved 04/2019
21,Avapritinib,BLU-285,Ayvakit,Blueprint Medicines,"(S)-1-(4-fluorophenyl)-1-(2-(4-(6-(1-methyl-1H-pyrazol-4-yl)pyrrolo[2,1-f][1,2,4]triazin-4-yl)piperazin-1-yl)pyrimidin-5-yl)ethan-1-amine",,498.57,"PDGFR, c-KIT",Multi-drug resistance GIST,CC(C1=CC=C(C=C1)F)(C2=CN=C(N=C2)N3CCN(CC3)C4=NC=NN5C4=CC(=C5)C6=CN(N=C6)C)N,Soluble,N.A.,N.A.,N.A.,Moderate bioavailability,98.80%,3A4 & 2C9,Uncharged drug & hydroxy gluconide & oxidative deamiN.A.ted,32-57,19.5,N.A.,N.A.,N.A.,N.A.,Approved 01/2020
22,Pemigatinib,INCB054828,Pemazyre,Incyte,"3-(2,6-difluoro-3,5-dimethoxyphenyl)-1-ethyl-8-(morpholinomethyl)-1,3,4,7-tetrahydro-2H-pyrrolo[3',2':5,6]pyrido[4,3-d]pyrimidin-2-one",,487.51,FGFR1-3,Cholangiocarcinoma,CCN1C2=C3C=C(NC3=NC=C2CN(C1=O)C4=C(C(=CC(=C4F)OC)OC)F)CN5CCOCC5,Very soluble,N.A.,N.A.,N.A.,Low bioavailability,91%,3A4,Not yet characterized,15.4,10.6,Reproductive toxicity,N.A.,N.A.,N.A.,Approved 04/2020
23,Ripretinib,DCC-2618,Qinlock,Deciphera Pharmaceuticals,"1-(4-bromo-5-(1-ethyl-7-(methylamino)-2-oxo-1,2-dihydro-1,6-N.A.phthyridin-3-yl)-2-fluorophenyl)-3-phenylurea",,510.37,"PDGFR, VEGFR, BRAF, c-KIT",Advanced GIST,CCN1C2=CC(=NC=C2C=C(C1=O)C3=CC(=C(C=C3Br)F)NC(=O)NC4=CC=CC=C4)NC,Low solubility,N.A.,5.63,12.1,High bioavailability,99%,3A4 (2D6 & 2E1),DP-5439,14.8,15.3,Hepatotoxicity,N.A.,N.A.,N.A.,Approved 05/2020
24,Tivozanib,AV-951,Fotivda,EUSA Pharma AVEO Pharmaceutical,"1-(2-chloro-4-((6,7-dimethoxyquinolin-4-yl)oxy)phenyl)-3-(5-methylisoxazol-3-yl)urea",,454.87,VEGFR,Advanced RCC,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,Very soluble ,< 1 g/mL,4.31,11.74,High bioavailability,>99%,3A4,Uncharged tivozanib,111,0.75,N.A.,N.A.,N.A.,N.A.,Approved 10/2021
,,,,,,Mean,487.55,,,,,,,,,,,,,,,,,,
,,,,,,Desv. Std,48.63,,,,,,,,,,,,,,,,,,
